Taxon,CopyNumber
Wolbachia endosymbiont of Onchocerca volvulus,1
Spiroplasma culicicola,1
Candidatus Hepatoplasma crinochetorum,1
Chlamydia avium,1
Thermococcus nautili,1
Aeropyrum camini,1
Natronomonas moolapensis,1
Nitrosospira briensis,1
Ehrlichia sp. HF,1
Neorickettsia helminthoeca,1
Rubrobacter radiotolerans,1
Nitrososphaera viennensis,1
Rhodoluna lacicola,1
Candidatus Walczuchella monophlebidarum,1
Mycoplasma amphoriforme,1
endosymbiont of Acanthamoeba sp. UWC8,1
Candidatus Nitrososphaera evergladensis,1
Thermodesulfobacterium commune,1
Calothrix sp. 336/3,1
Synechococcus sp. KORDI-100,1
Candidatus Izimaplasma sp. HR1,1
Prochlorococcus sp. MIT 0604,1
Prochlorococcus sp. MIT 0801,1
Thermococcus eurythermalis,1
Thermotoga sp. 2812B,1
Thermotoga sp. Cell2,1
Candidatus Methanoplasma termitum,1
endosymbiont of unidentified scaly snail isolate Monju,1
Candidatus Nanosynbacter lyticus,1
Sphingopyxis fribergensis,1
Candidatus Nitrosopelagicus brevis,1
Coxiella endosymbiont of Amblyomma americanum,1
Mesomycoplasma flocculare,1
Thermococcus guaymasensis,1
Methyloceanibacter caenitepidi,1
Thiolapillus brandeum,1
Thermotoga caldifontis,1
Thermotoga profunda,1
Candidatus Sulcia muelleri,33
Wolbachia endosymbiont of Cimex lectularius,1
Marinobacter similis,1
Thermotoga sp. RQ7,1
Nitrosopumilus piranensis,1
Sphingomonas hengshuiensis,1
Mesomycoplasma dispar,3
Candidatus Nitrosotenuis cloacae,1
Nitrosopumilus adriaticus,1
Blochmannia endosymbiont of Polyrhachis (Hedomyrma) turneri,1
Blochmannia endosymbiont of Camponotus (Colobopsis) obliquus,1
Polynucleobacter duraquae,1
Mycobacterium lepromatosis,1
Candidatus Methylopumilus planktonicus,1
Candidatus Filomicrobium marinum,2
Infirmifilum uzonense,1
Geoglobus ahangari,1
Nitrosomonas communis,1
Dehalococcoides sp. UCH007,1
Halanaeroarchaeum sulfurireducens,2
Hoeflea sp. IMCC20628,1
Kiritimatiella glycovorans,1
Thioalkalivibrio versutus,1
Endomicrobium proavitum,1
Pelagerythrobacter marensis,1
Croceicoccus naphthovorans,1
Spiroplasma atrichopogonis,1
Spiroplasma eriocheiris,2
Aurantiacibacter atlanticus,1
Wenzhouxiangella marina,1
Octadecabacter temperatus,1
Spiroplasma turonicum,2
Metallosphaera sedula,5
Spiroplasma litorale,1
Nitrospira moscoviensis,1
Spiroplasma kunkelii,1
Sphingopyxis sp. 113P3,1
Spiroplasma cantharicola,1
Candidatus Pseudothioglobus singularis,1
Altererythrobacter epoxidivorans,1
Candidatus Thioglobus autotrophicus,1
Citromicrobium sp. JL477,1
Sphingopyxis macrogoltabida,3
Candidatus Xiphinematobacter sp. Idaho Grape,1
Pyrodictium delaneyi,1
Aureimonas sp. AU20,1
Nitrosomonas ureae,1
Mycobacteroides saopaulense,1
Candidatus Nitrospira inopinata,1
Ignicoccus islandicus,1
Mycoplasma sp. (ex Biomphalaria glabrata),1
Thermococcus sp. 2319x1,2
Halobacterium hubeiense,1
Candidatus Arsenophonus lipoptenae,1
Halomonas chromatireducens,1
Thermosulfidibacter takaii,1
Bathymodiolus septemdierum thioautotrophic gill symbiont,1
Caldimicrobium thiodismutans,1
Bosea sp. PAMC 26642,1
Pseudodesulfovibrio indicus,1
Pyrococcus kukulkanii,1
Rhodoplanes sp. Z2-YC6860,1
Steroidobacter denitrificans,1
Thermococcus peptonophilus,1
Pirellula sp. SH-Sr6A,1
Sphingopyxis terrae,2
Luteitalea pratensis,1
Mycobacteroides chelonae,6
Thermococcus piezophilus,1
Arachidicoccus sp. BS20,1
Altererythrobacter ishigakiensis,1
Woeseia oceani,1
Candidatus Viadribacter manganicus,1
Paraurantiacibacter namhicola,1
Bradyrhizobium icense,1
Bradyrhizobium paxllaeri,1
Immundisolibacter cernigliae,1
Tsuneonella dongtanensis,1
Acidiferrobacter thiooxydans,1
Spiroplasma helicoides,1
Sulfolobus sp. A20,1
Porphyrobacter sp. LM 6,1
Lacunisphaera limnophila,1
Acidihalobacter yilgarnensis,1
Halodesulfurarchaeum formicicum,2
Spiroplasma sp. TU-14,1
Candidatus Rhodoluna planktonica,1
Hyphomonas sp. Mor2,1
Spiroplasma sp. NBRC 100390,1
Aurantiacibacter gangjinensis,1
Caldithrix abyssi,1
Spiroplasma citri,8
Methanohalophilus halophilus,1
Wolbachia endosymbiont of Folsomia candida,1
Borreliella mayonii,2
Salaquimonas pukyongi,1
Dehalogenimonas formicexedens,1
Tateyamaria omphalii,1
Microbacterium aurum,1
Sphingopyxis sp. QXT-31,1
Tessaracoccus aquimaris,1
Anaerohalosphaera lusitana,1
Thiomonas intermedia,1
Ferroplasma acidiphilum,1
Parasaccharibacter apium,1
Mycobacterium colombiense,1
Acidianus manzaensis,1
Pseudorhodoplanes sinuspersici,1
Candidatus Nitrosomarinus catalina,1
Thermococcus sp. 5-4,1
Methylovulum psychrotolerans,1
Candidatus Mancarchaeum acidiphilum,1
Thermococcus celer,1
Thermococcus gorgonarius,1
Metamycoplasma hyosynoviae,1
Thermococcus barossii,1
Thermococcus pacificus,1
Thermococcus siculi,1
Thermococcus sp. P6,1
Thermococcus thioreducens,1
Thermococcus radiotolerans,1
Thermococcus profundus,1
Thermococcus chitonophagus,2
Anaplasma ovis,1
Brachyspira hampsonii,1
Neisseria sp. KEM232,1
Spiroplasma corruscae,1
Bradyrhizobium amphicarpaeae,1
Bradyrhizobium symbiodeficiens,4
Tsuneonella mangrovi,1
Thermogutta terrifontis,1
Bradyrhizobium ottawaense,1
Mycobacterium marseillense,2
Rickettsia endosymbiont of Bemisia tabaci,1
Candidatus Nanopelagicus limnes,1
Candidatus Planktophila lacus,3
Candidatus Planktophila dulcis,3
Candidatus Nanopelagicus hibericus,1
Candidatus Planktophila sulfonica,1
Candidatus Planktophila versatilis,4
Candidatus Planktophila vernalis,1
Candidatus Nanopelagicus abundans,1
Candidatus Planktophila limnetica,1
Nibricoccus aquaticus,1
Variibacter gotjawalensis,1
Microcella alkaliphila,1
Sulfurifustis variabilis,1
Aurantimicrobium minutum,1
Sulfuricaulis limicola,1
Mycobacterium shigaense,2
[Mycobacterium] stephanolepidis,1
Thiohalobacter thiocyanaticus,1
Ichthyobacterium seriolicida,1
Candidatus Fonsibacter ubiquis,1
Thermostichus lividus,1
Legionella endosymbiont of Polyplax serrata,1
Candidatus Nitrosotenuis aquarius,1
Mariprofundus ferrinatatus,1
Qipengyuania seohaensis,1
Williamsoniiplasma luminosum,1
Williamsoniiplasma somnilux,1
Spiroplasma floricola,1
Spirosoma pollinicola,1
Bradyrhizobium sp. SK17,1
Coxiella-like endosymbiont of Amblyomma americanum,1
Candidatus Nitrosocaldus islandicus,1
Pontimonas salivibrio,1
Porphyrobacter sp. HT-58-2,1
Sphingopyxis sp. MG,1
Pukyongiella litopenaei,1
Candidatus Phycorickettsia trachydisci,1
Plantactinospora sp. BC1,1
Plantactinospora sp. BB1,1
Halococcoides cellulosivorans,1
Polynucleobacter difficilis,1
Methyloceanibacter sp. wino2,1
Candidatus Fokinia solitaria,1
Phenylobacterium parvum,1
Candidatus Cardinium hertigii,1
Acidiferrobacter sp. SPIII_3,1
Aurantimicrobium photophilum,1
Metallosphaera hakonensis,1
Acidianus sulfidivorans,1
Acidianus brierleyi,1
Blattabacterium punctulatus,10
Blattabacterium sp. (Cryptocercus kyebangensis),1
Polynucleobacter paneuropaeus,7
Erythrobacter sp. KY5,1
Blattabacterium clevelandi,1
Lysobacter oculi,1
Aurantimicrobium sp. MWH-Uga1,1
Candidatus Thioglobus sp. NP1,1
Acidisarcina polymorpha,1
Spiroplasma phoeniceum,1
Cardinium endosymbiont of Sogatella furcifera,1
Sulfitobacter sp. JL08,1
Sulfitobacter sp. SK011,1
Sulfitobacter sp. SK012,1
Acidibrevibacterium fodinaquatile,1
Candidatus Purcelliella pentastirinorum,1
Acidilobus sp. 7A,1
Rubrobacter indicoceani,1
Mycobacterium pseudoshottsii,1
Borrelia turcica,1
Sphingopyxis sp. EG6,1
Sphingopyxis sp. FD7,1
Mycobacterium paragordonae,1
Protaetiibacter intestinalis,1
Polaromonas sp. SP1,1
Bathymodiolus thermophilus thioautotrophic gill symbiont,1
Sphingopyxis sp. OPL5,1
Microbacterium sp. ABRD_28,1
Methylocystis rosea,2
Microbacterium sp. 10M-3C3,1
Rickettsiales endosymbiont of Stachyamoeba lipophora,1
Mesorhizobium sp. M9A.F.Ca.ET.002.03.1.2,1
Mesorhizobium sp. M2A.F.Ca.ET.043.05.1.1,1
Mesorhizobium sp. M3A.F.Ca.ET.080.04.2.1,1
Pelolinea submarina,1
Sphingosinicella microcystinivorans,1
Sulfodiicoccus acidiphilus,1
Sulfuriflexus mobilis,1
Silicimonas algicola,1
Glycocaulis alkaliphilus,1
Candidatus Velamenicoccus archaeovorus,1
Bradyrhizobium guangxiense,1
Bradyrhizobium zhanjiangense,1
Bradyrhizobium guangzhouense,1
Bradyrhizobium guangdongense,2
Candidatus Pseudomonas adelgestsugas,1
Methylovirgula ligni,1
Methylibium sp. Pch-M,1
Thalassococcus sp. S3,1
Candidatus Nardonella dryophthoridicola,2
endosymbiont of Euscepes postfasciatus,1
Egibacter rhizosphaerae,1
Roseitalea porphyridii,1
Qipengyuania sediminis,1
Spiroplasma gladiatoris,1
Brevundimonas sp. MF30-B,1
Rhodophyticola sp. CCM32,1
Sphingopyxis sp. PAMC25046,1
Wolbachia endosymbiont of Drosophila mauritiana,2
Halapricum salinum,1
Mycobacteroides salmoniphilum,1
Hankyongella ginsenosidimutans,1
Pseudolabrys sp. FHR47,1
Metallosphaera prunae,1
Agrococcus sp. SGAir0287,1
Candidatus Nanosynbacter featherlites,1
Rhodoluna limnophila,3
Bradyrhizobium sp. KBS0727,1
Bradyrhizobium sp. KBS0725,1
Thermococcus indicus,1
Mesorhizobium sp. 8,1
Oceanicola sp. D3,1
Mesorhizobium sp. B1-1-8,1
Wolbachia endosymbiont of Carposina sasakii,1
Oecophyllibacter saccharovorans,1
Swingsia sp. F3b2,1
Candidatus Nitrosopumilus sp. SW,1
Nitrosomonas stercoris,1
Rhodoferax sediminis,1
Ferrovibrio terrae,1
Microlunatus elymi,1
Methylacidiphilum kamchatkense,1
Adhaeretor mobilis,1
Poriferisphaera corsica,1
Anatilimnocola aggregata,1
Aeoliella mucimassa,1
Mucisphaera calidilacus,1
Pirellulimonas nuda,1
Lignipirellula cremea,1
Rosistilla oblonga,1
Luteimonas granuli,1
Sphingomonas suaedae,1
Salarchaeum sp. JOR-1,1
Candidatus Pelagibacter sp. FZCC0015,1
Sphingomonas panacisoli,1
Devosia ginsengisoli,1
Nitratireductor sp. SY7,1
Novosphingobium ginsenosidimutans,1
Baekduia soli,1
Flavisolibacter ginsenosidimutans,1
Panacibacter ginsenosidivorans,1
Rickettsia asiatica,1
Sphingomonas xanthus,1
Candidatus Prometheoarchaeum syntrophicum,1
Terriglobus albidus,1
Wolbachia endosymbiont of Drosophila ananassae,1
Roseimaritima ulvae,1
Octadecabacter sp. SW4,1
Mariniblastus fucicola,1
Thermococcus aciditolerans,1
Wolbachia endosymbiont of Chrysomya megacephala,1
Sulfuracidifex tepidarius,2
Protaetiibacter larvae,1
Thermosynechococcus sp. CL-1,1
Thermodesulfobacterium sp. TA1,1
Roseovarius indicus,1
Tepidiforma bonchosmolovskayae,1
Borrelia maritima,1
Bradyrhizobium betae,1
Bradyrhizobium sp. SG09,1
Bradyrhizobium sp. TM102,1
Lacipirellula parvula,1
Erythrobacter sp. THAF29,1
Roseovarius sp. THAF27,1
Roseovarius sp. THAF9,1
Roseovarius sp. THAF8,1
Sphingomonas ginsengisoli An et al. 2013,1
Sulfolobus sp. E5-1-F,1
Sulfolobus sp. E11-6,1
Candidatus Nanohalobium constans,1
Actinomarinicola tropica,1
Polaromonas sp. Pch-P,1
Spiribacter sp. 2438,1
Halorhabdus sp. CBA1104,1
Microlunatus sp. Gsoil 973,1
Novosphingobium sp. Gsoil 351,1
Tetrasphaera sp. HKS02,1
Acidianus ambivalens,1
Stygiolobus azoricus,1
Sulfurisphaera ohwakuensis,1
Spiroplasma tabanidicola,1
Roseovarius faecimaris,1
Terricaulis silvestris,1
Blochmannia endosymbiont of Camponotus nipponensis,1
Epidermidibacterium keratini,1
Neorickettsia findlayensis,1
Malacoplasma iowae,2
Coxiella endosymbiont of Amblyomma sculptum,1
Granulicella sp. WH15,1
Bradyrhizobium sp. CCBAU 051011,1
Bradyrhizobium sp. LCT2,1
Candidatus Chazhemtobacterium aquaticus,1
Edaphobacter sp. 12200R-103,1
Spiroplasma sp. TIUS-1,1
Spiroplasma sp. BIUS-1,1
Haloferax alexandrinus,1
Mycobacterium simiae,1
Mycobacterium shottsii,2
Mycobacterium saskatchewanense,1
Mycobacterium shinjukuense,1
Mycobacterium conspicuum,1
Mycobacterium florentinum,1
Mycobacterium parmense,1
Mycobacterium heidelbergense,1
Mycobacterium lacus,1
Mycobacterium seoulense,1
Mycobacterium paraseoulense,1
Mycobacterium stomatepiae,1
Mycobacterium mantenii,1
Pseudohalocynthiibacter aestuariivivens,1
Pikeienuella piscinae,1
Nocardioides anomalus,1
Altererythrobacter sp. BO-6,1
Sphingosinithalassobacter tenebrarum,1
Bradyrhizobium sp. 6(2017),1
Candidatus Kuenenia stuttgartiensis,2
Thermosulfuriphilus ammonigenes,1
Sphingomonas piscis,1
Lysobacter sp. HDW10,1
Sphingomonas sp. HDW15A,1
Sphingomonas sinipercae,1
Phycicoccus sp. HDW14,1
Nitrospira sp. KM1,1
Rubrobacter tropicus,1
Rubrobacter marinus,1
Bradyrhizobium septentrionale,2
Bradyrhizobium sp. 41S5,1
Bradyrhizobium sp. 1(2017),1
Komagataeibacter rhaeticus,2
Wolbachia endosymbiont of Brugia pahangi,1
Aquisalimonas sp. 2447,1
Candidatus Pelagibacter giovannonii,1
Wolbachia endosymbiont of Ctenocephalides felis wCfeT,1
Wolbachia endosymbiont of Ctenocephalides felis wCfeJ,1
Thermosulfurimonas marina,1
Parasphingorhabdus halotolerans,1
Mycoplasma sp. 1654_15,1
Pyruvatibacter mobilis,1
Bradyrhizobium elkanii,2
Roseobacter ponti,1
Sphingomonas lacunae,1
Erythrobacter mangrovi,1
Aquiluna borgnonia,1
Polynucleobacter sp. MWH-UH21B,1
Polynucleobacter sp. LimPoW16,1
Conexivisphaera calida,1
Methyloligella sp. GL2,1
Candidatus Ruthia endofausta,1
Candidatus Reidiella endopervernicosa,1
Metallosphaera tengchongensis,1
Oricola thermophila,1
Wolbachia endosymbiont of Litomosoides sigmodontis,1
Wolbachia endosymbiont of Dirofilaria (Dirofilaria) immitis,1
Wolbachia endosymbiont of Cruorifilaria tuberocauda,1
Wolbachia endosymbiont of Dipetalonema caudispina,1
Bradyrhizobium quebecense,2
Parasphingopyxis sp. CP4,1
Parasphingopyxis algicola,1
Natronomonas halophila,1
Natronomonas salina,1
Halobaculum halophilum,1
Halobaculum salinum,1
Nitrosopumilus cobalaminigenes,1
Nitrosopumilus oxyclinae,1
Nitrosopumilus ureiphilus,1
Candidatus Nitrosotenuis sp. DW1,1
Nitrosarchaeum sp. AC2,1
Chryseoglobus indicus,1
Wolbachia endosymbiont of Diaphorina citri,1
Mycobacterium vicinigordonae,1
Granulicella sp. 5B5,1
Sandaracinobacter sp. M6,1
Lacibacter sp. S13-6-6,1
Sphingomonas alpina,2
Tardiphaga robiniae,1
Terrihabitans soli,1
Leifsonia shinshuensis,1
Glaciihabitans sp. INWT7,1
Acidobacterium sp. 4Y35,1
Edaphobacter sp. 4G125,1
Synechococcus sp. Minos11,1
Hyphobacterium sp. CCMP332,1
Sphingosinithalassobacter sp. CS137,1
Sphingomonas sabuli,1
Phycicoccus endophyticus,1
Sphingomonas rhizophila,1
Sphingomonas lutea,1
Protaetiibacter sp. SSC-01,1
Sphingomonas daechungensis,1
Sphingomonas sediminicola,1
Candidatus Dehalogenimonas etheniformans,1
Candidatus Vesicomyosocius sp. SY067_SCS001,1
Wenzhouxiangella sp. AB-CW3,1
Luteimonas sp. MC1825,1
Chryseoglobus sp. 28M-23,1
Blochmannia endosymbiont of Colobopsis nipponica,1
Infirmifilum lucidum,1
Mycobacterium orygis,1
Bradyrhizobium sp. CCBAU 21365,1
Bradyrhizobium sp. CCBAU 51753,1
Bradyrhizobium sp. CCBAU 53421,1
Bradyrhizobium sp. CCBAU 53340,1
Bradyrhizobium sp. CCBAU 53338,1
Bradyrhizobium arachidis,2
Bradyrhizobium sp. CCBAU 51765,1
Bradyrhizobium sp. CCBAU 53351,1
Kaustia mangrovi,1
Mesorhizobium sp. NBSH29,1
Microbacterium schleiferi,1
Bradyrhizobium genosp. L,1
Bradyrhizobium genosp. B,1
Mycobacterium kubicae,1
Abyssogena phaseoliformis symbiont,1
Isorropodon fossajaponicum symbiont,1
Candidatus Carsonella ruddii (Diaphorina cf. continua),1
Luteimonas sp. MC1572,1
Thiohalobacter sp. COW1,1
Rickettsia tillamookensis,1
Candidatus Micrarchaeum sp.,1
Luteitalea sp. TBR-22,1
Halobacterium sp. BOL4-2,1
Halobacterium sp. GSL-19,1
Mycoplasma tauri,1
Tsuneonella flava,1
Thermosynechococcus sp. TA-1,1
Mycobacterium gordonae,1
Marinicauda algicola,1
Hyphomonas sp. KY3,1
Methylacidiphilum sp. IT6,1
Methylacidiphilum sp. IT5,1
Methylacidimicrobium sp. B4,1
Thermosipho ferrireducens,1
Desulfonema magnum,1
Ottowia testudinis,1
Parasphingorhabdus sp. JHSY0214,1
Brevundimonas sp. AJA228-03,1
Wolbachia endosymbiont of Wiebesia pumilae,1
Wolbachia endosymbiont of Aedes aegypti,13
Rhizobium sp. NLR16a,1
Microbacterium sp. NIBRBAC000506063,1
Coxiella endosymbiont of Amblyomma nuttalli,1
Nitrosopumilus sp. K4,1
Miltoncostaea marina,1
Miltoncostaea oceani,1
Wolbachia endosymbiont of Spodoptera picta,1
Erythrobacter sp. JK5,1
Sphingopyxis granuli,2
Mycobacterium spongiae,1
Sphingobium phenoxybenzoativorans,1
