#Name,Y.A.0H,Y.B.0H,Y.C.0H,Y.D.0H,Y.E.0H,Y.CN.A.24H,Y.CN.B.24H,Y.CN.C.24H,Y.CN.D.24H,Y.CN.E.24H,IQ.A.24H,IQ.B.24H,IQ.C.24H,IQ.D.24H,IQ.E.24H,J1.A.24H,J1.B.24H,J1.C.24H,J1.D.24H,J1.E.24H,J2.A.24H,J2.B.24H,J2.C.24H,J2.D.24H,J2.E.24H
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella9,0.000506192,0.008369048,0,0.000371208,0.032463807,0,0.000641177,0,0,0.00202477,0,0.008807748,0,0.000708669,0.150440387,0,0.001451085,0.012182364,0.001046131,0.15023791,0.002092262,0.006985455,0,3.37E-05,0.001721054
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus,0,0.000236223,0.003712078,0.011676172,0.000337462,0,3.37E-05,0.000472446,0.001822293,0,0,0.261499004,0.000303715,0.003745824,0.000337462,0,0.00465697,0.003138393,0.001248608,0,0,0.001046131,0.000236223,0.001417339,0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Dorea;Doreaformicigenerans,0.003273378,0.003813316,0.00826781,0.009617656,0.004724463,0.01090001,0.080687072,0.057638444,0.037019539,0.130800121,0.000202477,0.000843654,0.003745824,0.004117032,0.001552323,0.000337462,0.002530962,0.001181116,0.001653562,0.001383593,0.015658219,0.082576857,0.057132251,0.029325414,0.011946141
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium,0.009718894,0.02541086,0.018087942,0,0.016029427,0.000674923,0.009786387,0.060338137,0.0017548,0.007862856,0.0004387,0.0008774,0.024668444,0.000573685,0.002733439,0,0.002328485,0.001619816,0,0.000337462,0.005433132,0.038571862,0.143454932,0.010495056,0.023048628
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium,0.035838423,0.028549253,0.020382681,0.001619816,0.006074309,0.001214862,0.004791955,0.052610266,0.004150778,0.00158607,0.001484831,0.001484831,0.035804677,0.00421827,0.000978639,0.000506192,0.003374616,0.003273378,0.001619816,0,0.007390409,0.027806837,0.088313704,0.025343367,0.004184524
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Agathobacter;,0.02601829,0.012418587,0.040765363,0.13599703,0.006647994,0.003577093,0.000843654,0.005129417,0.008402794,0.000134985,0.0021935,0.001619816,0.030405291,0.020855128,0,0.001451085,0.005568117,0.003509601,0.023217359,0,0.001552323,0.000978639,0.013565957,0.006378024,0
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Slackia;Slackiaisoflavoniconvertens,0.003712078,0.001349846,0,0.010393818,0.00290217,0.008470287,0.075928863,0,0.059460736,0.076030102,0.000269969,0.000742416,0,0.001856039,0.003273378,0.000269969,0.000269969,0.000843654,0.001518577,0.001113623,0.018999089,0.019741504,0,0.024398475,0.044173725
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Blautia,0.043262579,0.036817062,0.051732865,0.014139642,0.019437789,0.001046131,0.001383593,0.003172139,0.000944893,0.001113623,0.001349846,0.000404954,0.017210542,0.00755914,0.001451085,0.001653562,0.004454493,0.001856039,0.007727871,0.003442108,0.020990112,0.028987953,0.031788884,0.017817973,0.029460399
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Ligilactobacillus,0,0,0,0.001012385,0,6.75E-05,0,0,0,0,0,0,0,0.002260993,0.123139743,0,0,0,0.02760436,0.035838423,0,0,0,0.004859447,0.023251105
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides,0,0,0.057975905,0.009043971,0,0.007390409,0.011169979,0.046670941,0.021158843,0.001822293,0.000944893,0.000303715,0.030101576,0.009853879,0,0,0,0,0.003678332,0,0.000776162,0.000269969,0.028245537,0.011001249,0.000337462
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Dorea,0.001923531,0.012418587,0.000269969,0.011237472,0.000978639,0.001552323,0.009685148,0.043330071,0.010630041,0.019235312,0.000641177,0.000742416,0.018087942,0.014004657,0.006580501,0.000911146,0.007525394,0.003678332,0.007255425,0.003037155,0.01133871,0.007019202,0.027705598,0.012756049,0.001383593
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella9;,0.000472446,0.004623224,0,0,0.024837175,0.000101238,0.0004387,0,0,0.001181116,0.000236223,0.013633449,0,0,0.061418014,0.000101238,0.001349846,0.008166571,0,0.037120778,0.001349846,0.005331893,0,0,0.001957277
Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Dialister,0.095467891,0.048493234,0,0,0.085411534,0.003172139,0.002834678,0,0,0.004049539,0.001484831,0.002699693,0,0,0.01177741,0.001788547,0.002868424,0.003205885,0,0.006074309,0.0017548,0.001923531,0,0,0.00202477
Bacteria;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Acidaminococcus,0.000573685,0,0,0,0,0.023487328,0.04052914,0,0,0.140586508,0.001012385,0.000337462,0,0,0.000404954,0.000404954,0,0,0,0,0,0,0,0,0.000236223
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Blautia,0.005939324,0.039280532,0.042452671,0.003408362,0.022407451,0.000371208,0.001113623,0.000843654,0.000472446,0.000371208,0.000911146,0.001113623,0.032430061,0.004015793,0.001451085,0.000134985,0.002260993,0.000674923,0.0021935,0.000539939,0.005298147,0.008504033,0.004387001,0.002733439,0.005669355
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae;Catenibacterium;,0.054365066,0,0,0,0.014544596,0.004319509,0,0,0,0.001417339,0.003205885,0,0,0,0.000674923,0.066479938,0,0,0,0.011034995,0.039550501,0,0,0,0.008335302
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides,0,0,0.063004083,0.000911146,0,0,0,0.025512098,0.007896602,0.000539939,0,0,0.014004657,0.001484831,0,0,0,0,0.000944893,0,0,0,0.06057436,0.00492694,0.000911146
Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacteriumbifidum,0,0,0.025512098,0.003172139,0,0,0,0.002429724,0.000337462,0,0,0,0.036715824,0.037863193,0,0,0,0,0.010360072,0,0,0,0.00580434,0.002868424,0
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Subdoligranulum;,0.002632201,0.012958526,0.082576857,0.004893193,0.003678332,0,0.000944893,0.005028178,0.000506192,0.001012385,0.000101238,0.000708669,0.020551412,0.000674923,0.000269969,3.37E-05,0.0008774,0.002632201,0.000809908,0.000168731,0.005399386,0.010225087,0.027941822,0.007322917,0.003037155
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Senegalimassilia;,0.004994432,0.001181116,0,0,0.001079877,0.026119529,0.022272467,0,0,0.00843654,0.005905578,0.000573685,0,0,0.000607431,0.010225087,0.001012385,0.003509601,0,0.000506192,0.049168157,0.016096919,0,0,0.019370297
Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Selenomonadaceae;Mitsuokella,0.001518577,0.001822293,0,0,0.002328485,0.000202477,0.012823541,0,0,0.01204738,0,0.014443357,0,0,0.01160868,0.0004387,0.024195998,0.018121689,0,0.025680829,0,0.000742416,0,0,0.000708669
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Succinivibrionaceae;Succinivibrio;,0.036007154,0,0,0,0.072453008,0.001383593,0,0,0,0.001417339,0.001417339,0,0,0,0.017244288,0.01758175,0,0,0,0.006378024,0.007525394,0,0,0,0.006006817
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Ruminococcus]torquegroup,0.030978976,0.018526643,0.007356663,0.000337462,0.018830358,0.001214862,0.000978639,0.000404954,0.000134985,0.001079877,0.001923531,0.001181116,0.006614248,0.005871832,0.00553437,0.007255425,0.012418587,0.007660379,0.002767185,0.001856039,0.016940573,0.001889785,0.002159754,0.001046131,0.004825701
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella9,0,0.003914555,0,0.001214862,0.006884217,0,0.000472446,0,0,0.000404954,0,0.037019539,0,0.003475855,0.018290419,0,0.00334087,0.020450174,0.002159754,0.018391658,0,0.008976479,0,0.000168731,0.000303715
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Holdemanella;,0.001147369,0.016029427,0,0,0.043262579,0.000101238,0.009415179,0,0,0.007322917,6.75E-05,0.002395977,0,0,0.00914521,3.37E-05,0.001451085,0.001383593,0,0.001889785,0.000607431,0.035230992,0,0,0.045523572
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella9,0,0.003914555,0,0.000708669,0.002665947,0,0.000978639,0,0,0,0,0.045793541,0,0.001484831,0.009280194,0,0.004083286,0.025782067,0.000641177,0.015152026,0,0.01133871,0,0,0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Fusicatenibacter;,0.020348935,0.010731279,0.044983633,0.009550164,0.013937165,0.001012385,0.0008774,0.0013161,0.0004387,0.000674923,0.000472446,0.000472446,0.006513009,0.001113623,0.003509601,0.000742416,0.001552323,0.000911146,0.001079877,0.001181116,0.002362231,0.002969662,0.014612088,0.004015793,0.009718894
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautiaobeum,0.010157595,0.004150778,0.002564708,0.002632201,0.005028178,0.000404954,0.000202477,0.000539939,0.001923531,0.000742416,0.000337462,0.000134985,0.002260993,0.019808997,0.001214862,0.000708669,0.001991024,0.001147369,0.011001249,0.000809908,0.009820133,0.008132825,0.005973071,0.034319846,0.006310532
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides,0,0,0.008031586,0.001046131,0,0.006546755,0.068977154,0.015590727,0.007424156,0.001282354,0,0.000708669,0.00712044,0.001451085,0.000269969,0,6.75E-05,0,0.000641177,0,0,0.000337462,0.018155435,0.000641177,0.000337462
Bacteria;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium,0,0,6.75E-05,0.042013971,0,0,0,0.005028178,0.045051125,0,0,0,0.000674923,0.010427564,0,0,0,0,0.00668174,0,0,0,0.001012385,0.028515506,0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides,0.000911146,0,0,0.029932845,0.000134985,0.012384841,0.002632201,0,0.025950798,0.001518577,0.001282354,0,0,0.02338609,0.000101238,0.000168731,0,0,0.011709918,0,0.002260993,0,0,0.003307124,0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Coprococcus,0.007424156,0.004353255,0.003880809,0.002126008,0.005905578,0.000911146,0.010495056,0.001417339,0.002564708,0.011878649,0.000202477,0.000371208,0.000641177,0.002159754,0.001721054,0.000269969,0.001957277,0.0013161,0.001349846,0.001248608,0.002260993,0.021496305,0.007964094,0.005028178,0.034083623
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Enterorhabdus;,0.003644585,0.0021935,0,0.003104647,0.001248608,0.000303715,0.004117032,0,0.005433132,0.003948301,0.001788547,0.001721054,0,0.003205885,0.002800931,0.000809908,0.000944893,0.004387001,0.001012385,0.002126008,0.011811156,0.020888874,0,0.030607768,0.018121689
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Libanicoccus;,0,0,0,0,0.003273378,0,0,0,0,0.002362231,0,0,0,0,0.002429724,0,0,0,0,0.000641177,0,0,3.37E-05,0,0.124962036
Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Megasphaera,0,0.001248608,0,0,0,0,0.008369048,0,0,0.000573685,0,0.042823879,0,0,0,0,0.01380218,0.041305302,0,0.001046131,0,0,0,0,0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides,0,0,0.000506192,0.000776162,0,0.033779908,0.003374616,0.02338609,0.028785476,0.000303715,0.001147369,0,0.004015793,0.002092262,0,0,0,0,0.000641177,0,0.000506192,0,0.003745824,0.000742416,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridiumsensustrict1,0,0,0,0,0,0.004589478,0,0,0,0,0.051294165,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-002;,0.016400634,0.017514258,0.001282354,0.004184524,0.002294739,0.001484831,0.026996929,0.006546755,0.007255425,0.022913644,0.000303715,0.000168731,0.000607431,0.000337462,0.000202477,0.000404954,0.000236223,0.000202477,0.000539939,0,0.000843654,0.001383593,0.001113623,0.001518577,0.000236223
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;;,0,0.002328485,0,0,0.002395977,0,0.023048628,0,0,0.017919212,0,0.000404954,0,0,0.001214862,0,0.0004387,0.000641177,0,0.000236223,0,0.019640266,0,0,0.03806567
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Ruminococcus,0.001282354,0.001923531,0.016738096,0.000843654,0.024094759,0.001653562,0.0013161,0.004454493,0.000236223,0.001282354,0.000573685,0.000911146,0.012789795,0.003644585,0.001046131,0.000101238,0.000168731,0.000168731,0.002395977,0.000472446,0.001451085,0.001484831,0.007424156,0.001349846,0.000641177
Bacteria;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Acidaminococcus,0,0,0,0,0.000776162,0.035264739,0.049606857,0,0,0.001282354,0.001484831,0,0,0,0.000337462,0.0008774,0,0.000269969,0,0.000269969,0.000134985,0.000404954,0,0,0
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Holdemanella;,0,0,0,0,0.051226673,0,0,0,0,0.007694125,0,0,0,0,0.00668174,0,0,0,0,0.002395977,0,0,0,0,0.0351635
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus,0,0,0,0,0.002395977,0,0,0,0,0.025478352,0,0,0,0,0.01467958,0,0,0,0,0.028954206,0,0,0,0,0.000641177
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-002;,0.023318598,0.011642426,0.0017548,0.034589815,0.002092262,0.002733439,0.005433132,0.000776162,0.006276786,0.003577093,0.000539939,0.000236223,0,0.003070901,0.000101238,0.000337462,0.000236223,0.000202477,0.003070901,0.000134985,0.001383593,0.000472446,0,0.00377957,0.000337462
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;LachnospiraceaeND3007group;,0.002834678,0.010866264,0.003610839,0.009752641,0.008774002,0,0.000404954,0.000168731,0.000674923,0.000236223,6.75E-05,0.000202477,0.000337462,0.000911146,0.000134985,6.75E-05,0.000404954,0.000269969,0.000641177,0.000101238,0.004589478,0.012452334,0.002294739,0.01177741,0.01845915
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Olsenella;OlsenellasGAM18,0.005635609,0.014105895,0,0,0.003577093,0.000539939,0.002564708,0,0,0.003104647,0.000202477,0.001957277,0,0,0.000742416,0.001687308,0.003104647,0.009550164,0,0.002935916,0.007322917,0.011237472,0,0,0.017109304
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella,0.000303715,0.003813316,0,0,0.002699693,0,0.006209294,0,0,0.005973071,0,0.000404954,0,0,0.000269969,0,0.001147369,0.001856039,0,0.000978639,0.001248608,0.017446765,0,0,0.036817062
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautiafaecis,0.003982047,0.01002261,0.022171228,0.011946141,0.003374616,0,0.0004387,0.000404954,0.000506192,0.000607431,0.000269969,0.000236223,0.003374616,0.002159754,0.000303715,0,0.000236223,0.000134985,0.0013161,0.000168731,0.000472446,0.001923531,0.0013161,0.002395977,0.001788547
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Ruminococcus]gauvreauiigroup;,0.000573685,0.006108055,0.00958391,0.000911146,0.004454493,0,0.00290217,0.002260993,0.0004387,0.000911146,0.000101238,0.001484831,0.005264401,0.000539939,0.001687308,0,0.0017548,0.001248608,0.000404954,0.000506192,0.000674923,0.011574933,0.001856039,0.001889785,0.000944893
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Subdoligranulum,0.019741504,0.015287011,0.006479263,0,0.010731279,0.001079877,0.000742416,0.00158607,0,0.000539939,0.000742416,0.000269969,0.001451085,0,0.000101238,0.0004387,0.000202477,0.000269969,0,6.75E-05,0.005399386,0.0008774,0.001181116,0,0.009178956
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;[Eubacterium]siraeumgroup;,0.005635609,0.009752641,0.000607431,0.030641515,0.003577093,0.000236223,0.000303715,0,0.001012385,0.000101238,0.000168731,0.001079877,0,0.004150778,0.000236223,0,6.75E-05,0.000101238,0.005568117,0,0.000134985,0.000236223,3.37E-05,0.004623224,0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides,0,0,0.00492694,0.002260993,0,0.006647994,0.009921371,0.006614248,0.006479263,0,0,0,0.005129417,0.002564708,0,0.000134985,0,0,0.001383593,0,0.000269969,0,0.004623224,0.000742416,0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides,0.000776162,0,0,0,0,0.020720143,0,0,0,0.000506192,0.007019202,0,0,0,0,0.000674923,0,0,0,0,0.009617656,0,0,0,0
Bacteria;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium;,0.000404954,0,0,0,0.004117032,0.011001249,0.002632201,0,0,0.017041811,0.000202477,0,0,0,0.000404954,0,0,3.37E-05,0,0.000101238,0.004724463,0.000472446,0,3.37E-05,0.004454493
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella9;,0,0,0,0,0.002126008,0,0,0,0,0,0,0,0,0,0.013903418,0,0,0,0,0.008774002,0.0004387,0,0,0,0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella9,0,0,0,0,0.001147369,0,0,0,0,0,0,0,0,0,0.012756049,0,0,0,0,0.012182364,0,0,0,0,0
Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae;ChristensenellaceaeR-7group;,0.001721054,0.016636858,0.024432221,0.000101238,0.002092262,0.000269969,0.001012385,0.001619816,0,0.000236223,0,0.000269969,0.000911146,0,0.000101238,0.000134985,0.000134985,0.000134985,0,0.000101238,0.0004387,0.000978639,0.002935916,0,0.000134985
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Ruminococcus]torquegroup,0.000337462,0,0.004420747,0.002362231,0,0.000168731,0,0.000337462,0.000843654,0,0,0,0.001822293,0.012654811,0,0,0,0,0.003205885,0,0.000674923,0,0.000506192,0.001383593,0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides,0,0.000809908,0,0,0,0.000539939,0.026861944,0,0,0,0.000134985,0.000742416,0,0,0,0,0,3.37E-05,0,0,0.001349846,0.010866264,0,0,0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides,0,0,0.008402794,0.000303715,0,0.000404954,0.0008774,0.006411771,0.001248608,0,0.000269969,0,0.006141801,0.0017548,0,0,0,0,6.75E-05,0,0.000202477,0,0.004488239,0.000843654,0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroidecaccae,0.0004387,0,0,0.003543347,0,0.001349846,0.002159754,0,0.003205885,0,0.001687308,0.000472446,0,0.00755914,0,0.000168731,0,6.75E-05,0.00290217,0,0.0017548,0,0,0.002530962,0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae,0,0,3.37E-05,0,0.000101238,0,0.000978639,0.011642426,0.004589478,0.000911146,0.000134985,0,0.003003408,0.000202477,0.0004387,0,0,0,0,0,0,0.000134985,0.013161003,0,0.000101238
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Holdemanella;,0.002564708,0.009246448,0,0,0.002699693,0.000202477,0.00465697,0,0,0.000506192,0,0.001012385,0,0,0.000404954,0,0.000472446,0.0004387,0,0.000101238,0.000674923,0.017784227,0,0,0.003205885
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella,0,0,0,0.000674923,0,0,0,0,0.020011474,0,0,0,0,0.006513009,0,0,0,0,0.001046131,0,0,0,0,0.000472446,0
Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Selenomonadaceae;Mitsuokella;,0.001957277,0,0,0,0.001484831,0.000269969,0,0,0,0.009111464,0.000404954,0,0,0,0.005939324,0.000641177,0,0,0,0.008335302,0.000101238,0,0,0,0.000472446
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella9,0,0,0,0,0.000809908,0,0,0,0,0,0,0,0,0,0.010123848,0,0,0,0,0.010731279,0,0,0,0,0
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-002;,0.0017548,0,0.000607431,0.000539939,0.001856039,0,0.000607431,0.006850471,0.007086694,0.013734688,0,0,0.000303715,0,0,0,0,0,0,0.000303715,0.000236223,0,0.001248608,0.000708669,0.000708669
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Coprococcus;Coprococcucatus,0.001012385,0.000371208,0.003003408,0.003509601,0.001181116,0.000742416,0.000978639,0.002058516,0.003003408,0.001113623,0.000573685,0.000371208,0.000371208,0.0008774,0.000134985,0,0.000539939,0.000404954,0.001113623,0.000134985,0.000742416,0.000809908,0.002497216,0.007052948,0.000303715
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Ruminococcus,0.000202477,0,0,0.012114872,0,0.000776162,0,0,0.0013161,0,0.000202477,0,0,0.007862856,0,0,0,0,0.00624304,0,0.000236223,0,0,0.001822293,0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroideeggerthii,0,0,0,0.007896602,0,0,0,0,0.004015793,0,0,0,0,0.003982047,0,0,0,0,0.003813316,0,0,0,0,0.01133871,0
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae;Catenibacterium;,0.01424088,0,0,0,0,0.000978639,0,0,0,0,0,0,0,0,0,0.013228495,0,0,0,0,0.006175548,0,0,0,0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides,0.000742416,0,0.000978639,0,0,0.00799784,0,0,0,0.0008774,0.00202477,0,0,0,0,0.000607431,0,0,0,0,0.01916782,0,0,0,0
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;CollinsellasMS5,0.002429724,0,0,0,0,0.003948301,0,0,0,0,0.000269969,0,0,0,0,0.000809908,0,0,0,0,0.027233152,0,0,0,0
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-005;,0.007592886,0.013127257,0.003307124,0.004150778,0.002530962,0.000708669,0.001349846,0.000506192,0.000303715,0.000337462,0.000269969,0.000911146,0.000236223,0.000472446,0.000134985,0.000168731,0.000506192,0.000573685,0.000404954,0.000269969,0.0004387,0.001383593,0.000303715,0.000337462,0.000202477
